Precinct 1,"",""
Registration & Turnout ,"","3,373"
REP - CAROL SCHWARTZ ,307 ,23.80%
SGN - LAURENT ROSS ,69 ,5.35%
DEM - KWAME R. BROWN ,881 ,68.29%
IND - A.D. ''TONY'' DOMINGUEZ ,32 ,2.48%
"Write In, if any ",1 ,0.08%
Total... ,"1,290 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,68 ,6.79%
REP - JEROD TOLSON ,11 ,1.10%
DEM - VINCENT C. GRAY ,899 ,89.81%
"Write In, if any ",23 ,2.30%
Total... ,"1,001 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,884 ,93.84%
SGN - ADAM EIDINGER ,55 ,5.84%
"Write In, if any ",3 ,0.32%
Total... ,942 ,100.00%
Precinct 100,"",""
egistration & Turnout ,"","1,753"
Election Day Turnout ,935 ,53.34%
Absentee Turnout ,70 ,3.99%
Total... ,"1,005 ",57.33%
LECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,957 ,97.65%
SGN - COBB/LaMARCHE ,1 ,0.10%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,21 ,2.14%
IND - NADER/CAMEJO ,1 ,0.10%
"Write In, if any ",0 ,0.00%
Total... ,980 ,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,929 ,98.00%
REP - MICHAEL ANDREW MONROE ,17 ,1.79%
"Write In, if any ",2 ,0.21%
Total... ,948 ,100.00%
T-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,195 ,17.92%
SGN - LAURENT ROSS ,37 ,3.40%
DEM - KWAME R. BROWN ,828 ,76.10%
IND - A.D. ''TONY'' DOMINGUEZ ,26 ,2.39%
"Write In, if any ",2 ,0.18%
Total... ,"1,088 ",100.00%
ARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,24 ,2.52%
REP - JEROD TOLSON ,21 ,2.21%
DEM - VINCENT C. GRAY ,890 ,93.49%
"Write In, if any ",17 ,1.79%
Total... ,952 ,100.00%
NITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,847 ,94.64%
SGN - ADAM EIDINGER ,42 ,4.69%
"Write In, if any ",6 ,0.67%
Total... ,895 ,100.00%
Precinct 99,"",""
Registration & Turnout ,"","1,336"
Election Day Turnout ,662 ,49.55%
Absentee Turnout ,46 ,3.44%
Total... ,708 ,52.99%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,666 ,95.97%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,23 ,3.31%
IND - NADER/CAMEJO ,4 ,0.58%
"Write In, if any ",1 ,0.14%
Total... ,694 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,656 ,97.19%
REP - MICHAEL ANDREW MONROE ,17 ,2.52%
"Write In, if any ",2 ,0.30%
Total... ,675 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,141 ,17.43%
SGN - LAURENT ROSS ,39 ,4.82%
DEM - KWAME R. BROWN ,589 ,72.81%
IND - A.D. ''TONY'' DOMINGUEZ ,39 ,4.82%
"Write In, if any ",1 ,0.12%
Total... ,809 ,100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,34 ,5.08%
REP - JEROD TOLSON ,11 ,1.64%
DEM - VINCENT C. GRAY ,614 ,91.78%
"Write In, if any ",10 ,1.49%
Total... ,669 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,600 ,93.02%
SGN - ADAM EIDINGER ,42 ,6.51%
"Write In, if any ",3 ,0.47%
Total... ,645 ,100.00%
Precinct 102,"",""
Registration & Turnout ,"","2,305"
Election Day Turnout ,1264 ,54.84%
Absentee Turnout ,105 ,4.56%
Total... ,"1,369 ",59.39%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1228 ,95.12%
SGN - COBB/LaMARCHE ,2 ,0.15%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,55 ,4.26%
IND - NADER/CAMEJO ,5 ,0.39%
"Write In, if any ",1 ,0.08%
Total... ,"1,291 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1287 ,97.57%
REP - MICHAEL ANDREW MONROE ,29 ,2.20%
"Write In, if any ",3 ,0.23%
Total... ,"1,319 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,388 ,23.14%
SGN - LAURENT ROSS ,81 ,4.83%
DEM - KWAME R. BROWN ,1159 ,69.11%
IND - A.D. ''TONY'' DOMINGUEZ ,40 ,2.39%
"Write In, if any ",9 ,0.54%
Total... ,"1,677 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,58 ,4.50%
REP - JEROD TOLSON ,18 ,1.40%
DEM - VINCENT C. GRAY ,1180 ,91.54%
"Write In, if any ",33 ,2.56%
Total... ,"1,289 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1139 ,92.60%
SGN - ADAM EIDINGER ,87 ,7.07%
"Write In, if any ",4 ,0.33%
Total... ,"1,230 ",100.00%
Precinct 101,"",""
Registration & Turnout ,"","1,724"
Election Day Turnout ,928 ,53.83%
Absentee Turnout ,80 ,4.64%
Total... ,"1,008 ",58.47%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,943 ,96.22%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,1 ,0.10%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,31 ,3.16%
IND - NADER/CAMEJO ,4 ,0.41%
"Write In, if any ",1 ,0.10%
Total... ,980 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,952 ,97.34%
REP - MICHAEL ANDREW MONROE ,25 ,2.56%
"Write In, if any ",1 ,0.10%
Total... ,978 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,302 ,23.37%
SGN - LAURENT ROSS ,78 ,6.04%
DEM - KWAME R. BROWN ,868 ,67.18%
IND - A.D. ''TONY'' DOMINGUEZ ,42 ,3.25%
"Write In, if any ",2 ,0.15%
Total... ,"1,292 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,44 ,4.56%
REP - JEROD TOLSON ,16 ,1.66%
DEM - VINCENT C. GRAY ,879 ,91.09%
"Write In, if any ",26 ,2.69%
Total... ,965 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,874 ,93.48%
SGN - ADAM EIDINGER ,58 ,6.20%
"Write In, if any ",3 ,0.32%
Total... ,935 ,100.00%
Precinct 103,"",""
Registration & Turnout ,"","3,446"
Election Day Turnout ,1683 ,48.84%
Absentee Turnout ,145 ,4.21%
Total... ,"1,828 ",53.05%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1746 ,96.62%
SGN - COBB/LaMARCHE ,2 ,0.11%
LIB - BADNARIK/CAMPAGNA ,1 ,0.06%
SWP - HARRIS/TROWE ,3 ,0.17%
REP - BUSH/CHENEY ,43 ,2.38%
IND - NADER/CAMEJO ,8 ,0.44%
"Write In, if any ",4 ,0.22%
Total... ,"1,807 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1753 ,98.32%
REP - MICHAEL ANDREW MONROE ,27 ,1.51%
"Write In, if any ",3 ,0.17%
Total... ,"1,783 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,483 ,21.66%
SGN - LAURENT ROSS ,134 ,6.01%
DEM - KWAME R. BROWN ,1535 ,68.83%
IND - A.D. ''TONY'' DOMINGUEZ ,71 ,3.18%
"Write In, if any ",7 ,0.31%
Total... ,"2,230 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,94 ,5.35%
REP - JEROD TOLSON ,22 ,1.25%
DEM - VINCENT C. GRAY ,1597 ,90.95%
"Write In, if any ",43 ,2.45%
Total... ,"1,756 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1596 ,94.83%
SGN - ADAM EIDINGER ,81 ,4.81%
"Write In, if any ",6 ,0.36%
Total... ,"1,683 ",100.00%
Precinct 104,"",""
Registration & Turnout ,"","2,505"
Election Day Turnout ,1261 ,50.34%
Absentee Turnout ,86 ,3.43%
Total... ,"1,347 ",53.77%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1277 ,96.30%
SGN - COBB/LaMARCHE ,4 ,0.30%
LIB - BADNARIK/CAMPAGNA ,1 ,0.08%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,41 ,3.09%
IND - NADER/CAMEJO ,2 ,0.15%
"Write In, if any ",1 ,0.08%
Total... ,"1,326 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1277 ,97.41%
REP - MICHAEL ANDREW MONROE ,31 ,2.36%
"Write In, if any ",3 ,0.23%
Total... ,"1,311 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,304 ,19.01%
SGN - LAURENT ROSS ,92 ,5.75%
DEM - KWAME R. BROWN ,1148 ,71.79%
IND - A.D. ''TONY'' DOMINGUEZ ,50 ,3.13%
"Write In, if any ",5 ,0.31%
Total... ,"1,599 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,62 ,4.82%
REP - JEROD TOLSON ,23 ,1.79%
DEM - VINCENT C. GRAY ,1164 ,90.44%
"Write In, if any ",38 ,2.95%
Total... ,"1,287 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1199 ,95.69%
SGN - ADAM EIDINGER ,49 ,3.91%
"Write In, if any ",5 ,0.40%
Total... ,"1,253 ",100.00%
Precinct 105,"",""
Registration & Turnout ,"","2,131"
Election Day Turnout ,1025 ,48.10%
Absentee Turnout ,136 ,6.38%
Total... ,"1,161 ",54.48%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1107 ,96.60%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,36 ,3.14%
IND - NADER/CAMEJO ,2 ,0.17%
"Write In, if any ",1 ,0.09%
Total... ,"1,146 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1101 ,97.61%
REP - MICHAEL ANDREW MONROE ,24 ,2.13%
"Write In, if any ",3 ,0.27%
Total... ,"1,128 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,322 ,22.61%
SGN - LAURENT ROSS ,68 ,4.78%
DEM - KWAME R. BROWN ,976 ,68.54%
IND - A.D. ''TONY'' DOMINGUEZ ,51 ,3.58%
"Write In, if any ",7 ,0.49%
Total... ,"1,424 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,56 ,5.08%
REP - JEROD TOLSON ,24 ,2.18%
DEM - VINCENT C. GRAY ,993 ,90.11%
"Write In, if any ",29 ,2.63%
Total... ,"1,102 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1019 ,95.86%
SGN - ADAM EIDINGER ,43 ,4.05%
"Write In, if any ",1 ,0.09%
Total... ,"1,063 ",100.00%
Precinct 107,"",""
Registration & Turnout ,"","1,572"
Election Day Turnout ,835 ,53.12%
Absentee Turnout ,80 ,5.09%
Total... ,915 ,58.21%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,836 ,97.55%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,18 ,2.10%
IND - NADER/CAMEJO ,3 ,0.35%
"Write In, if any ",0 ,0.00%
Total... ,857 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,853 ,97.49%
REP - MICHAEL ANDREW MONROE ,20 ,2.29%
"Write In, if any ",2 ,0.23%
Total... ,875 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,159 ,15.42%
SGN - LAURENT ROSS ,40 ,3.88%
DEM - KWAME R. BROWN ,782 ,75.85%
IND - A.D. ''TONY'' DOMINGUEZ ,45 ,4.36%
"Write In, if any ",5 ,0.48%
Total... ,"1,031 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,33 ,3.82%
REP - JEROD TOLSON ,8 ,0.92%
DEM - VINCENT C. GRAY ,804 ,92.95%
"Write In, if any ",20 ,2.31%
Total... ,865 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,788 ,95.05%
SGN - ADAM EIDINGER ,38 ,4.58%
"Write In, if any ",3 ,0.36%
Total... ,829 ,100.00%
Precinct 106,"",""
Registration & Turnout ,"","3,077"
Election Day Turnout ,1554 ,50.50%
Absentee Turnout ,147 ,4.78%
Total... ,"1,701 ",55.28%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1608 ,95.26%
SGN - COBB/LaMARCHE ,2 ,0.12%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,68 ,4.03%
IND - NADER/CAMEJO ,5 ,0.30%
"Write In, if any ",4 ,0.24%
Total... ,"1,688 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1617 ,96.83%
REP - MICHAEL ANDREW MONROE ,49 ,2.93%
"Write In, if any ",4 ,0.24%
Total... ,"1,670 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,631 ,26.16%
SGN - LAURENT ROSS ,171 ,7.09%
DEM - KWAME R. BROWN ,1498 ,62.11%
IND - A.D. ''TONY'' DOMINGUEZ ,100 ,4.15%
"Write In, if any ",12 ,0.50%
Total... ,"2,412 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,93 ,5.64%
REP - JEROD TOLSON ,39 ,2.37%
DEM - VINCENT C. GRAY ,1489 ,90.35%
"Write In, if any ",27 ,1.64%
Total... ,"1,648 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1499 ,95.17%
SGN - ADAM EIDINGER ,70 ,4.44%
"Write In, if any ",6 ,0.38%
Total... ,"1,575 ",100.00%
Precinct 108,"",""
Registration & Turnout ,"","1,254"
Election Day Turnout ,807 ,64.35%
Absentee Turnout ,41 ,3.27%
Total... ,848 ,67.62%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,785 ,93.12%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,2 ,0.24%
REP - BUSH/CHENEY ,53 ,6.29%
IND - NADER/CAMEJO ,3 ,0.36%
"Write In, if any ",0 ,0.00%
Total... ,843 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,809 ,97.59%
REP - MICHAEL ANDREW MONROE ,19 ,2.29%
"Write In, if any ",1 ,0.12%
Total... ,829 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,355 ,29.91%
SGN - LAURENT ROSS ,56 ,4.72%
DEM - KWAME R. BROWN ,740 ,62.34%
IND - A.D. ''TONY'' DOMINGUEZ ,35 ,2.95%
"Write In, if any ",1 ,0.08%
Total... ,"1,187 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,19 ,2.32%
REP - JEROD TOLSON ,14 ,1.71%
DEM - VINCENT C. GRAY ,772 ,94.38%
"Write In, if any ",13 ,1.59%
Total... ,818 ,100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,748 ,95.04%
SGN - ADAM EIDINGER ,34 ,4.32%
"Write In, if any ",5 ,0.64%
Total... ,787 ,100.00%
Precinct 109,"",""
egistration & Turnout ,"","1,131"
Election Day Turnout ,668 ,59.06%
Absentee Turnout ,62 ,5.48%
Total... ,730 ,64.54%
LECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,683 ,94.34%
SGN - COBB/LaMARCHE ,1 ,0.14%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,1 ,0.14%
REP - BUSH/CHENEY ,33 ,4.56%
IND - NADER/CAMEJO ,3 ,0.41%
"Write In, if any ",3 ,0.41%
Total... ,724 ,100.00%
ELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,700 ,96.95%
REP - MICHAEL ANDREW MONROE ,21 ,2.91%
"Write In, if any ",1 ,0.14%
Total... ,722 ,100.00%
T-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,358 ,32.17%
SGN - LAURENT ROSS ,59 ,5.30%
DEM - KWAME R. BROWN ,653 ,58.67%
IND - A.D. ''TONY'' DOMINGUEZ ,40 ,3.59%
"Write In, if any ",3 ,0.27%
Total... ,"1,113 ",100.00%
ARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,41 ,5.77%
REP - JEROD TOLSON ,14 ,1.97%
DEM - VINCENT C. GRAY ,643 ,90.44%
"Write In, if any ",13 ,1.83%
Total... ,711 ,100.00%
NITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,617 ,90.74%
SGN - ADAM EIDINGER ,58 ,8.53%
"Write In, if any ",5 ,0.74%
Total... ,680 ,100.00%
Precinct 110,"",""
Registration & Turnout ,"","4,279"
Election Day Turnout ,2464 ,57.58%
Absentee Turnout ,185 ,4.32%
Total... ,"2,649 ",61.91%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2494 ,95.01%
SGN - COBB/LaMARCHE ,4 ,0.15%
LIB - BADNARIK/CAMPAGNA ,1 ,0.04%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,112 ,4.27%
IND - NADER/CAMEJO ,9 ,0.34%
"Write In, if any ",5 ,0.19%
Total... ,"2,625 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2519 ,96.96%
REP - MICHAEL ANDREW MONROE ,74 ,2.85%
"Write In, if any ",5 ,0.19%
Total... ,"2,598 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,986 ,27.97%
SGN - LAURENT ROSS ,166 ,4.71%
DEM - KWAME R. BROWN ,2262 ,64.17%
IND - A.D. ''TONY'' DOMINGUEZ ,102 ,2.89%
"Write In, if any ",9 ,0.26%
Total... ,"3,525 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,148 ,5.75%
REP - JEROD TOLSON ,46 ,1.79%
DEM - VINCENT C. GRAY ,2325 ,90.29%
"Write In, if any ",56 ,2.17%
Total... ,"2,575 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,2318 ,94.30%
SGN - ADAM EIDINGER ,131 ,5.33%
"Write In, if any ",9 ,0.37%
Total... ,"2,458 ",100.00%
Precinct 111,"",""
Registration & Turnout ,"","2,172"
Election Day Turnout ,1194 ,54.97%
Absentee Turnout ,95 ,4.37%
Total... ,"1,289 ",59.35%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1223 ,96.07%
SGN - COBB/LaMARCHE ,1 ,0.08%
LIB - BADNARIK/CAMPAGNA ,1 ,0.08%
SWP - HARRIS/TROWE ,1 ,0.08%
REP - BUSH/CHENEY ,40 ,3.14%
IND - NADER/CAMEJO ,5 ,0.39%
"Write In, if any ",2 ,0.16%
Total... ,"1,273 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1211 ,97.35%
REP - MICHAEL ANDREW MONROE ,30 ,2.41%
"Write In, if any ",3 ,0.24%
Total... ,"1,244 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,330 ,21.18%
SGN - LAURENT ROSS ,65 ,4.17%
DEM - KWAME R. BROWN ,1105 ,70.92%
IND - A.D. ''TONY'' DOMINGUEZ ,55 ,3.53%
"Write In, if any ",3 ,0.19%
Total... ,"1,558 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,55 ,4.51%
REP - JEROD TOLSON ,24 ,1.97%
DEM - VINCENT C. GRAY ,1116 ,91.48%
"Write In, if any ",25 ,2.05%
Total... ,"1,220 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1126 ,95.99%
SGN - ADAM EIDINGER ,42 ,3.58%
"Write In, if any ",5 ,0.43%
Total... ,"1,173 ",100.00%
Precinct 112,"",""
Registration & Turnout ,"","2,172"
Election Day Turnout ,1236 ,56.91%
Absentee Turnout ,66 ,3.04%
Total... ,"1,302 ",59.94%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1238 ,95.82%
SGN - COBB/LaMARCHE ,0 ,0.00%
LIB - BADNARIK/CAMPAGNA ,0 ,0.00%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,49 ,3.79%
IND - NADER/CAMEJO ,4 ,0.31%
"Write In, if any ",1 ,0.08%
Total... ,"1,292 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1248 ,97.20%
REP - MICHAEL ANDREW MONROE ,35 ,2.73%
"Write In, if any ",1 ,0.08%
Total... ,"1,284 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,364 ,22.37%
SGN - LAURENT ROSS ,81 ,4.98%
DEM - KWAME R. BROWN ,1115 ,68.53%
IND - A.D. ''TONY'' DOMINGUEZ ,62 ,3.81%
"Write In, if any ",5 ,0.31%
Total... ,"1,627 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,45 ,3.59%
REP - JEROD TOLSON ,29 ,2.31%
DEM - VINCENT C. GRAY ,1157 ,92.34%
"Write In, if any ",22 ,1.76%
Total... ,"1,253 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1137 ,93.73%
SGN - ADAM EIDINGER ,75 ,6.18%
"Write In, if any ",1 ,0.08%
Total... ,"1,213 ",100.00%
Precinct 113,"",""
Registration & Turnout ,"","2,314"
Election Day Turnout ,1405 ,60.72%
Absentee Turnout ,87 ,3.76%
Total... ,"1,492 ",64.48%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1363 ,92.47%
SGN - COBB/LaMARCHE ,2 ,0.14%
LIB - BADNARIK/CAMPAGNA ,1 ,0.07%
SWP - HARRIS/TROWE ,1 ,0.07%
REP - BUSH/CHENEY ,91 ,6.17%
IND - NADER/CAMEJO ,14 ,0.95%
"Write In, if any ",2 ,0.14%
Total... ,"1,474 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1382 ,95.77%
REP - MICHAEL ANDREW MONROE ,56 ,3.88%
"Write In, if any ",5 ,0.35%
Total... ,"1,443 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,529 ,26.76%
SGN - LAURENT ROSS ,99 ,5.01%
DEM - KWAME R. BROWN ,1269 ,64.19%
IND - A.D. ''TONY'' DOMINGUEZ ,73 ,3.69%
"Write In, if any ",7 ,0.35%
Total... ,"1,977 ",100.00%
WARD SEVEN MEMBER OF THE COUNCIL ,"",(Final)
SGN - MICHELE TINGLING-CLEMMONS ,78 ,5.40%
REP - JEROD TOLSON ,43 ,2.98%
DEM - VINCENT C. GRAY ,1295 ,89.68%
"Write In, if any ",28 ,1.94%
Total... ,"1,444 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1258 ,93.74%
SGN - ADAM EIDINGER ,80 ,5.96%
"Write In, if any ",4 ,0.30%
Total... ,"1,342 ",100.00%
Precinct 114,"",""
Registration & Turnout ,"","3,050"
Election Day Turnout ,1388 ,45.51%
Absentee Turnout ,118 ,3.87%
Total... ,"1,506 ",49.38%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1416 ,95.87%
SGN - COBB/LaMARCHE ,2 ,0.14%
LIB - BADNARIK/CAMPAGNA ,2 ,0.14%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,47 ,3.18%
IND - NADER/CAMEJO ,8 ,0.54%
"Write In, if any ",2 ,0.14%
Total... ,"1,477 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1391 ,97.34%
REP - MICHAEL ANDREW MONROE ,32 ,2.24%
"Write In, if any ",6 ,0.42%
Total... ,"1,429 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,342 ,20.66%
SGN - LAURENT ROSS ,75 ,4.53%
DEM - KWAME R. BROWN ,1171 ,70.76%
IND - A.D. ''TONY'' DOMINGUEZ ,54 ,3.26%
